Edu_Level,Family_Status,Annual_Income,Kids_Count,Teens_Count,Last_Visit,Spent_Wines,Spent_Fruits,Spent_Meat,Spent_Fish,Spent_Sweets,Spent_Gold,Promo_Purchases,Web_Orders,Catalog_Orders,Store_Orders,Web_Visits,Campaign_1,Campaign_2,Campaign_3,Campaign_4,Campaign_5,Complaint_Flag,Contact_Cost,Total_Revenue,Next_Purchase,Reg_Days_Since,Age
2,3,-0.41012314472674194,1,0,56,244,15,108,4,15,50,6,7,1,6,8,0,0,0,0,0,0,3,11,1,1.6245070680928693,-0.6811247397395924
2,5,0.7693878763892613,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,3,11,0,1.1673766899432647,0.569237193710616
2,6,0.8255906273870915,0,0,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,3,11,0,-0.5468622281177522,0.06909242033053263
2,4,-0.7945421010272861,1,0,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,3,11,1,1.6145694511765736,-0.43105235304955075
2,4,0.7882138328423807,0,1,43,604,26,470,123,161,94,2,5,9,6,2,0,0,0,0,0,0,3,11,0,0.47174350580256225,-0.2643374285895229
2,3,-0.48098577413169863,1,1,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,3,11,0,-0.09966946688444339,-1.0145545886596479
2,3,0.3181544608605274,1,1,92,201,2,43,3,5,35,4,5,1,5,6,0,0,0,0,0,0,3,11,0,1.5847566004276863,0.6525946559406299
3,3,-0.636191832656476,0,0,24,88,39,54,64,28,153,1,3,5,3,6,1,0,0,0,0,0,3,11,1,-0.3580475067081329,-1.1812695131196758
3,5,1.1840698524578679,0,0,66,1206,55,445,168,18,18,1,2,4,12,1,0,0,1,0,0,0,3,11,0,1.7040080034232352,0.8193095804006577
2,2,0.955996730751288,0,0,79,516,56,449,86,33,16,1,2,2,11,1,0,0,0,0,0,0,3,11,0,0.6704958441284773,1.236096891550727
1,3,-1.0003306354501107,0,0,89,7,23,78,133,49,144,2,4,2,5,7,0,0,0,0,0,0,3,11,0,1.2270023914410393,1.4861692782407687
4,2,-0.14345484716011364,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,3,11,0,-0.5866126957829352,0.4858797314806021
3,4,1.4607603189087246,0,0,36,671,47,655,145,111,15,1,7,5,12,2,0,0,0,0,0,0,3,11,1,0.6704958441284773,-1.1812695131196758
2,4,-1.1117142692458108,1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,3,11,0,-0.46736129278738614,-0.09762250412949515
3,3,1.0900579780614972,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,3,11,0,-1.1629944769280887,2.069671513850866
0,4,-0.1818142072817097,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,-0.06488780767740826,0.7359521181706438
3,3,0.9853557901886162,0,1,30,940,44,396,0,88,58,1,8,7,7,4,1,0,1,1,0,0,3,11,1,-0.24376491217073176,0.8193095804006577
2,3,0.11075451889161103,0,1,28,161,28,136,32,3,45,4,3,4,6,3,0,0,0,0,0,0,3,11,0,-0.5120805689107171,0.9860245048606855
2,5,-0.4023019227347362,0,1,96,309,3,24,4,3,20,2,5,1,7,7,0,1,0,0,0,0,3,11,0,-0.46736129278738614,0.9860245048606855
2,5,-0.4621991203016546,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,0.5661508665073719,1.4861692782407687
3,5,1.10534669843783,0,0,85,829,138,430,60,92,15,1,4,6,13,2,0,0,0,0,0,0,3,11,0,1.3363161775202925,-0.18097996635950905
2,6,0.7209277421372859,0,0,82,344,45,654,104,11,114,2,3,4,10,3,0,0,0,0,0,0,3,11,0,0.7649032048332869,1.4861692782407687
2,3,0.6709348055853698,0,0,95,627,120,414,121,80,93,1,9,6,5,5,0,0,0,0,0,0,3,11,0,0.014613127652957738,-1.1812695131196758
2,3,-1.2944321639233722,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,3,11,1,-0.994054989351061,0.06909242033053263
2,2,-0.3595799714517701,0,1,87,91,3,52,2,1,31,3,4,0,4,8,0,0,0,0,0,0,3,11,1,1.3412849859784404,-0.18097996635950905
2,4,0.9439701280902139,1,0,44,676,161,426,210,44,58,2,2,5,5,6,0,0,0,0,0,0,3,11,1,1.6245070680928693,-0.09762250412949515
4,5,-0.2528733498020434,1,1,25,38,0,2,0,0,6,1,1,0,3,7,1,0,0,0,1,0,3,11,0,-1.3766532406284473,1.1527394293207132
2,4,-0.8847416209853424,1,0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,3,11,0,-0.5418934196596042,-1.3479844375797037
2,4,-0.5228430677070057,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,3,11,0,0.7251527371681039,-1.4313418998097174
1,3,-1.2586274743016777,1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,3,11,0,1.2617840506480744,-1.4313418998097174
0,3,-1.2702217481089224,0,0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,3,11,0,-1.2424954122584546,-0.43105235304955075
2,5,-0.5773165032895182,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,1.554943749678799,1.9029565893908382
4,2,-1.0588129385863145,1,0,15,40,3,30,10,7,11,3,3,0,3,9,0,0,0,0,0,0,3,11,1,1.4655051974321374,-0.43105235304955075
2,5,0.63851014154816,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,3,11,0,-1.7393762580732421,-0.014265041899481263
2,5,-1.4117504938034586,1,0,23,3,0,5,13,0,1,1,1,0,3,6,0,0,0,0,0,0,3,11,0,-1.1629944769280887,-1.2646269753496897
2,3,-1.0927704049234652,1,0,16,5,3,4,4,1,0,1,1,0,2,8,0,0,0,0,0,0,3,11,0,1.2468776252736307,-1.5980568242697453
2,3,-0.8251588444030271,1,1,40,28,0,11,0,0,9,3,2,0,3,8,0,0,0,0,0,0,3,11,0,0.019581936111105612,0.7359521181706438
2,2,0.7010799174842061,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,0.49161873963515373,0.23580734479056042
2,2,-0.0183152952880216,0,1,95,631,0,115,10,7,30,3,9,2,10,7,0,0,0,0,0,0,3,11,0,1.554943749678799,0.4025222692505882
2,3,0.07011560663164143,0,1,46,652,8,158,21,0,142,4,11,6,5,8,0,0,0,0,0,0,3,11,0,0.7748408217495827,-0.6811247397395924
2,3,-0.031363766149056324,0,1,32,293,6,23,13,6,92,4,6,2,5,8,0,0,0,0,0,0,3,11,0,1.2170647745247436,0.7359521181706438
2,5,1.0031205758186996,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,3,11,0,-1.2474642207166025,1.236096891550727
2,2,-0.3640997731054418,0,1,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,3,11,0,0.45186827196997076,1.4861692782407687
4,2,0.4594866934396866,0,2,71,1459,0,61,0,15,215,5,2,5,6,5,1,0,1,0,1,0,3,11,1,-0.37295393208257654,0.4025222692505882
2,5,0.9766306078658761,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,-0.5717062704084915,-0.8478396641996202
4,4,0.6161469490182542,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,1.2021583491502998,-1.8481292109597869
2,3,1.4903551940845052,0,0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,0,3,11,1,-1.4511853675006654,1.0693819670906994
3,3,-0.34617777698305674,1,1,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,3,11,0,0.39224257047219624,-0.014265041899481263
2,2,-0.28702732925457103,1,1,28,33,0,5,0,0,15,2,1,1,2,4,0,0,0,0,0,0,3,11,0,-0.025137340012225264,0.4858797314806021
4,4,0.07927311780821099,1,1,78,12,0,4,0,0,0,1,1,0,2,5,0,0,0,0,0,0,3,11,0,-1.063618307765131,-0.3476948908195368
3,3,-0.5301140529759558,1,0,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,3,11,0,-0.8598971609810683,-0.3476948908195368
2,3,0.09275391752307517,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,3,11,0,-0.313328230584802,-0.6811247397395924
2,3,0.13783402619056562,0,0,22,760,38,104,50,9,38,2,7,3,4,4,0,1,0,0,0,0,3,11,0,-1.34684038987956,2.069671513850866
2,4,-1.3263851964836773,1,1,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,3,11,0,0.1785838067718376,0.4025222692505882
2,3,0.7631387593202718,0,1,85,184,178,178,103,39,33,1,6,3,10,3,0,0,0,0,0,0,3,11,0,-0.8350531186903289,1.0693819670906994
0,2,1.1604489759895489,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,3,11,0,0.9239050754940189,0.569237193710616
2,4,0.814389379810601,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,3,11,0,-1.6151560466195454,-0.5144098152795646
3,4,0.8998725849996085,0,0,16,918,57,842,99,38,133,1,5,8,6,3,0,0,0,1,0,0,3,11,1,0.7847784386658784,-0.09762250412949515
4,3,-0.8192241483186409,1,0,15,74,0,42,2,1,6,2,2,1,4,7,0,0,0,0,0,0,3,11,0,1.1425326476525255,-0.8478396641996202
2,4,-0.20869720146528725,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,0,3,11,1,-1.187838519218828,1.402811816010755
2,3,-0.47666248559340396,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,3,11,0,-0.09470065842629552,-0.2643374285895229
2,3,0.8496831353323153,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0,0.561182058049224,-0.5977672775095785
3,3,0.5715384718276686,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,1.5002868566391725,1.236096891550727
3,3,0.676476475439002,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,3,11,0,-1.5257174943728835,-0.931197126429634
2,5,0.6167757909874606,0,1,96,897,126,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,3,11,0,1.5648813665950947,0.4025222692505882
2,3,0.8873743508616295,0,1,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,3,11,0,0.9040298416614274,1.319454353780741
4,3,-0.8905191065774269,1,0,21,14,0,6,0,0,0,2,2,0,3,5,0,0,0,0,0,0,3,11,0,-1.5356551112891792,-0.2643374285895229
2,3,-0.8291284093336431,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,3,11,1,-0.8549283525229204,-0.6811247397395924
0,5,0.5840367059656476,1,1,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,3,11,0,0.8344665232473572,0.15244988256054653
2,5,0.4144458873952716,1,0,74,224,12,48,4,12,12,1,6,2,4,6,0,0,0,0,0,0,3,11,0,-1.1779009023025322,-0.931197126429634
0,3,0.7933624764652588,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,3,11,0,0.1835526152299855,1.1527394293207132
3,3,-0.10878993360760573,0,2,66,411,0,26,0,0,21,6,7,1,7,7,0,0,0,0,0,0,3,11,0,-0.5816438873247872,-0.5977672775095785
2,3,-1.3401411145600692,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,3,11,0,-0.5518310365759,-1.764771748729773
0,2,-0.8365959077179702,1,0,54,2,3,10,11,2,10,1,1,0,3,6,0,0,0,0,0,0,3,11,0,-1.0834935415977227,-0.3476948908195368
0,3,-0.8408012883870386,1,0,99,5,10,13,3,8,16,1,1,0,3,8,0,0,0,0,0,0,3,11,0,0.839435331705505,-0.6811247397395924
3,3,-0.36103416850556014,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,3,11,0,1.1475014561106733,-0.6811247397395924
4,3,1.2643258087778464,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,-0.671082439571449,0.3191648070205743
2,2,-1.3010350046000405,1,0,26,2,0,9,3,6,2,1,1,0,3,8,0,0,0,0,0,0,3,11,0,-1.0139302231836524,-0.43105235304955075
4,2,1.3066940364531339,0,0,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,3,11,1,0.3375856774325696,0.569237193710616
3,0,0.5124273267222582,0,0,48,240,67,500,199,0,163,3,3,5,6,2,0,0,0,0,0,0,3,11,0,-0.9145540540206949,0.9860245048606855
4,5,0.10073235000738255,0,1,85,582,0,65,0,0,13,6,8,2,9,5,0,0,0,0,0,0,3,11,0,-1.2623706460910462,-0.3476948908195368
3,3,-0.08237857090093305,0,0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,3,11,0,-1.6549065142847283,-0.6811247397395924
2,3,0.22272769203344214,0,1,38,228,19,130,4,11,51,2,3,3,8,2,0,0,0,0,0,0,3,11,0,-1.3766532406284473,1.0693819670906994
2,3,0.19081396209621262,0,1,61,356,80,329,138,17,106,2,7,6,10,5,0,0,0,0,0,0,3,11,0,0.600932525714407,1.4861692782407687
2,4,-1.4705472179242656,0,0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,3,11,0,-1.3915596660028908,1.4861692782407687
2,4,0.6358375631790324,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,3,11,0,0.8891234162869838,-1.0979120508896618
4,5,0.47379284823913437,1,2,81,986,36,168,16,0,108,7,11,3,4,7,0,0,0,0,0,0,3,11,1,0.6357141849214422,1.319454353780741
3,6,-0.31041238998443743,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,3,11,0,-0.2586713375451754,1.236096891550727
4,4,-0.24438398321775573,2,1,87,189,2,55,0,5,12,4,6,1,4,9,0,0,0,0,0,0,3,11,0,1.122657413819934,1.319454353780741
2,6,0.9381926424981292,0,1,49,526,35,214,69,53,35,2,6,3,4,2,0,0,0,0,0,0,3,11,0,-1.7244698326987986,0.8193095804006577
2,2,-0.8188311220878868,1,0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0.5760884834236676,-0.5977672775095785
2,2,1.1624141071433192,0,0,76,267,98,606,48,70,98,1,3,2,6,1,0,0,1,0,0,0,3,11,1,0.21336546597887274,-1.1812695131196758
4,3,0.545716648467127,0,1,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,3,11,1,0.4866499311770059,1.0693819670906994
2,3,-0.6883464134775396,0,0,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,3,11,0,0.09411406298332374,-1.9314866731898008
4,3,-0.9226686522531089,0,0,59,206,0,46,3,2,12,2,5,1,5,8,0,0,0,0,0,0,3,11,0,1.3412849859784404,-0.6811247397395924
4,5,-0.5599840465132643,0,1,19,233,0,23,0,0,12,4,5,1,5,8,0,0,0,0,0,0,3,11,0,0.5114939734677453,0.7359521181706438
2,2,0.7015908515841863,1,0,89,1045,61,338,60,46,46,3,5,5,13,8,0,0,0,0,0,0,3,11,0,-0.025137340012225264,-0.5144098152795646
2,3,0.7665187849047567,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,3,11,0,0.8990610332032795,-1.4313418998097174
4,3,-0.42832025921065486,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,-0.17420159375666153,0.4025222692505882
0,5,-0.6864205849468447,1,1,40,8,4,15,3,5,3,2,1,0,3,7,0,0,0,0,0,0,3,11,0,1.5251308989299117,-0.5144098152795646
4,5,1.2581159943319324,0,0,80,152,27,103,106,54,81,0,9,9,4,5,0,1,1,1,1,0,3,11,1,0.9288738839521667,0.9026670426306715
2,5,-0.8395043018255502,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,3,11,0,1.6245070680928693,-1.0145545886596479
0,3,0.18028085911200387,0,1,33,1171,43,219,19,14,47,4,6,3,13,9,1,0,0,0,0,0,3,11,0,1.0481252869477158,-0.5144098152795646
2,5,-0.49827892828487713,1,0,92,6,2,18,2,8,14,1,2,0,3,4,0,0,0,0,0,0,3,11,0,-0.7406457579855192,-0.6811247397395924
3,6,-0.29252969648512783,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,3,11,0,-0.040043765386668886,2.069671513850866
2,3,-0.7085479617382981,1,0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0.044425978401844986,-0.43105235304955075
2,3,0.4452198412633143,1,1,87,457,5,106,15,17,53,8,11,1,6,8,0,0,0,0,0,0,3,11,0,0.5363380157584846,-0.8478396641996202
3,5,-0.395502568942691,1,0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,3,11,0,0.8841546078288359,-1.4313418998097174
3,5,-0.7687595802898198,1,1,78,28,0,13,4,2,8,3,2,1,3,5,0,0,0,0,0,0,3,11,0,-0.28848418829406264,0.06909242033053263
3,2,0.2744499440006762,0,1,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,3,11,0,0.4369618465955271,0.569237193710616
4,4,0.31658235593751116,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,3,11,0,-1.0536806908488354,-0.18097996635950905
2,5,0.8805749970695843,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,0.4618058888862665,-0.09762250412949515
4,3,1.0092517850184628,0,1,89,934,24,230,16,24,36,2,8,4,6,3,0,1,1,0,0,0,3,11,0,-1.11330639234661,-0.43105235304955075
2,5,0.9139036214375285,1,1,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,3,11,0,1.5648813665950947,0.15244988256054653
2,4,-0.03812381731802612,0,1,95,264,0,21,12,6,147,3,6,1,5,7,0,0,0,0,0,0,3,11,0,-0.49717414353627337,1.1527394293207132
4,5,-0.9733690360203824,1,0,90,152,9,121,12,12,45,4,6,2,4,8,0,0,0,0,0,0,3,11,0,1.6891015780487917,-0.7644822019696063
2,3,1.0285100703254118,0,0,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,3,11,0,1.4158171128506585,0.9860245048606855
2,4,0.2844328102618292,0,1,78,89,15,89,34,42,5,1,4,1,6,4,0,0,0,0,0,0,3,11,0,-0.989086180892913,0.3191648070205743
2,3,1.0643540625701817,0,0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,3,11,0,0.26802235901849936,0.7359521181706438
4,4,-0.46031259439403516,2,1,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,3,11,0,-0.750583374901815,0.9860245048606855
4,3,0.07888009157745693,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,-0.005262106179633762,0.6525946559406299
4,5,0.3840256571349075,0,1,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,3,11,1,1.6543199188417566,-0.2643374285895229
4,3,0.6537988619244929,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,3,11,0,-0.6561760141970054,-0.09762250412949515
0,3,-1.574306142843337,0,0,38,5,6,15,11,7,13,1,2,0,3,9,0,0,0,0,0,0,3,11,0,1.082906946154751,-0.7644822019696063
3,2,1.026977268025471,0,0,35,816,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,0,3,11,1,0.9934683939080892,-0.09762250412949515
0,3,-0.2497684425790863,1,1,62,12,2,20,3,2,5,1,1,0,3,7,0,0,0,0,0,0,3,11,0,-1.664844131201024,-0.3476948908195368
2,5,0.8891429689000228,0,1,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,3,11,0,0.8344665232473572,0.569237193710616
4,3,0.3215737890680877,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,0.47671231426071015,-0.5144098152795646
3,3,1.4388294552326482,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,1.0680005207803072,0.7359521181706438
0,5,-1.0038678715268974,1,1,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,3,11,0,-0.20401444450554876,-0.5977672775095785
4,3,0.6616200839164986,0,1,41,674,62,134,0,26,8,4,7,3,13,5,0,0,0,0,0,0,3,11,0,-1.6847193650336156,-0.5144098152795646
2,5,-0.9175593112533061,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,3,11,0,1.5748189835113906,-1.3479844375797037
4,2,-0.37636219150496836,1,1,11,209,0,40,3,2,15,4,6,1,4,8,0,0,0,0,0,0,3,11,0,0.8444041401636528,1.5695267404707827
2,4,-0.03812381731802612,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,-0.8698347778973641,1.4861692782407687
0,5,-0.7874283262506375,0,0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,3,11,0,0.029519553027401363,-1.2646269753496897
2,3,0.8392679402173329,0,1,61,833,80,363,52,26,174,2,9,5,6,6,1,0,0,0,0,0,3,11,1,1.7040080034232352,0.9860245048606855
3,2,-0.6694418517782694,0,0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,3,11,0,0.13386453064850673,1.6528842027007966
4,4,-1.4219691758030641,1,0,75,19,3,18,3,1,0,3,3,0,3,8,0,0,0,0,0,0,3,11,0,-0.2537025290870275,-1.2646269753496897
2,6,-0.8676842825706162,1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,3,11,0,0.9785619685336455,-0.18097996635950905
4,3,0.3757721062890723,0,1,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,3,11,0,1.2915969013969617,-0.2643374285895229
0,2,0.5210346011757722,0,0,77,918,10,129,13,0,129,1,11,3,12,7,0,1,1,0,1,0,3,11,1,0.059332403776288616,-0.09762250412949515
3,5,-1.334599444706437,1,0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,-1.6400000889102846,-1.0979120508896618
2,6,-0.48735279906991436,0,1,23,13,6,7,0,3,3,1,1,0,3,6,0,0,0,0,0,0,3,11,0,-0.48723652661997763,1.402811816010755
2,2,0.6158325280336509,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,3,11,0,-0.49717414353627337,0.4858797314806021
3,3,-0.40253773847318863,1,0,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,3,11,1,0.49658754809330163,-1.2646269753496897
3,3,1.1495621493976615,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,3,11,1,-0.591581504241083,1.6528842027007966
3,5,-0.20032574275022583,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,3,11,0,0.44689946351182286,1.4861692782407687
4,3,0.5929584014037647,0,1,45,1253,0,447,23,71,35,3,11,5,11,8,0,0,0,1,0,0,3,11,0,0.24317831672776,-0.09762250412949515
2,5,1.1872533649269756,0,0,71,966,168,672,246,105,126,1,7,5,10,4,0,1,0,1,0,0,3,11,0,-0.39282916591516803,1.9029565893908382
2,2,0.17811921484285656,0,0,91,908,48,217,32,12,24,1,2,3,13,6,0,1,0,0,0,0,3,11,0,-0.989086180892913,-1.0145545886596479
2,3,0.2756290226929383,0,1,29,724,17,143,0,8,196,2,9,2,12,7,0,0,0,0,0,0,3,11,0,0.9239050754940189,1.5695267404707827
2,4,-0.6125316535650818,0,1,53,204,5,39,17,0,89,3,5,2,4,8,0,0,0,0,0,0,3,11,1,1.6443823019254609,0.9860245048606855
3,3,0.9647219130740281,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,0.5164627819258931,1.6528842027007966
